city,state_name,county_name,lat,lng,id
New York,New York,Queens,40.6943,-73.9249,1840034016
Los Angeles,California,Los Angeles,34.1141,-118.4068,1840020491
Chicago,Illinois,Cook,41.8375,-87.6866,1840000494
Miami,Florida,Miami-Dade,25.784,-80.2101,1840015149
Houston,Texas,Harris,29.786,-95.3885,1840020925
Dallas,Texas,Dallas,32.7935,-96.7667,1840019440
Philadelphia,Pennsylvania,Philadelphia,40.0077,-75.1339,1840000673
Atlanta,Georgia,Fulton,33.7628,-84.422,1840013660
Washington,District of Columbia,District of Columbia,38.9047,-77.0163,1840006060
Boston,Massachusetts,Suffolk,42.3188,-71.0852,1840000455
Phoenix,Arizona,Maricopa,33.5722,-112.0892,1840020568
Detroit,Michigan,Wayne,42.3834,-83.1024,1840003971
Seattle,Washington,King,47.6211,-122.3244,1840021117
San Francisco,California,San Francisco,37.7558,-122.4449,1840021543
San Diego,California,San Diego,32.8313,-117.1222,1840021990
Minneapolis,Minnesota,Hennepin,44.9635,-93.2678,1840007830
Tampa,Florida,Hillsborough,27.9945,-82.4447,1840015982
Brooklyn,New York,Kings,40.6501,-73.9496,1840034030
Denver,Colorado,Denver,39.762,-104.8758,1840018789
Queens,New York,Queens,40.7498,-73.7976,1840034002
Riverside,California,Riverside,33.9381,-117.3949,1840020551
Las Vegas,Nevada,Clark,36.2333,-115.2654,1840020364
Baltimore,Maryland,Baltimore,39.3051,-76.6144,1840001592
St. Louis,Missouri,St. Louis,38.6359,-90.2451,1840001651
Portland,Oregon,Multnomah,45.5371,-122.65,1840019941
San Antonio,Texas,Bexar,29.4632,-98.5238,1840022220
Sacramento,California,Sacramento,38.5677,-121.4685,1840021491
Austin,Texas,Travis,30.3005,-97.7522,1840019590
Orlando,Florida,Orange,28.4773,-81.337,1840015099
San Juan,Puerto Rico,San Juan,18.3985,-66.061,1630035577
San Jose,California,Santa Clara,37.3012,-121.848,1840021570
Indianapolis,Indiana,Marion,39.7771,-86.1458,1840030084
Pittsburgh,Pennsylvania,Allegheny,40.4397,-79.9763,1840001254
Cincinnati,Ohio,Hamilton,39.1413,-84.506,1840003814
Manhattan,New York,New York,40.7834,-73.9662,1840034000
Kansas City,Missouri,Jackson,39.1238,-94.5541,1840008535
Cleveland,Ohio,Cuyahoga,41.4764,-81.6805,1840000596
Columbus,Ohio,Franklin,39.9862,-82.9855,1840003760
Bronx,New York,Bronx,40.8501,-73.8662,1840033999
Charlotte,North Carolina,Mecklenburg,35.2083,-80.8303,1840014557
Virginia Beach,Virginia,Virginia Beach,36.7335,-76.0435,1840003871
Jacksonville,Florida,Duval,30.3322,-81.6749,1840015031
Milwaukee,Wisconsin,Milwaukee,43.0642,-87.9675,1840003046
Providence,Rhode Island,Providence,41.823,-71.4187,1840003289
Nashville,Tennessee,Davidson,36.1715,-86.7842,1840036155
Salt Lake City,Utah,Salt Lake,40.7776,-111.9311,1840021383
